Schematic_Link_ID,Schematic_Origin_ID,Schematic_Destination_ID
2025,37,472
2026,38,447
2027,1,428
2029,429,8
2030,430,64
2028,431,15
2035,434,38
2034,432,6
2032,39,434
2031,41,436
2033,437,43
2128,74,437
2038,439,42
2077,43,439
2036,442,46
2135,45,442
2069,443,9
2122,46,443
2037,445,48
2039,49,445
2043,446,43
2094,29,407
2112,449,52
2119,433,53
2107,466,56
2416,55,466
2041,467,58
2049,56,467
2058,436,57
2152,468,7
2599,48,468
2104,412,11
2110,398,14
2113,386,59
2565,391,16
2106,385,73
2102,426,69
2136,400,14
2143,384,13
2200,402,62
2059,390,4
2116,399,41
2639,415,29
2090,416,18
2057,383,40
2092,433,38
2148,401,4
2081,408,24
2040,404,15
2168,392,45
2079,389,4
2080,382,3
2150,394,15
2062,397,8
2555,388,11603
2115,423,65
2351,406,70
2060,396,64
2071,395,9
2482,393,64
2461,413,60
2553,403,62
2097,32,411
2405,30,415
2140,19,416
2459,34,413
2044,9,391
2270,5,392
2295,3,389
2052,15,395
2101,4,394
2199,6,382
2133,2,390
2056,421,384
2898,11,388
2652,16,496
2889,7,397
2480,17,477
2074,22,403
2129,24,404
2065,25,400
2125,18,383
2308,29,449
2105,10,410
2124,3,408
2082,5,405
2085,8,399
2187,422,28
2268,420,423
2464,424,27
2224,407,39
2681,36,471
2078,23,402
2123,427,23
2045,471,1
2120,473,7
2192,475,16
2584,58,475
2538,58,476
2067,2,501
2356,481,4
2238,489,14
2098,492,51
2076,59,493
2156,494,11593
2118,60,494
2142,495,13
2096,496,62
2641,62,393
2674,497,7
2506,65,498
2411,499,72
2070,500,73
2144,958,333
2130,276,960
2533,961,329
2393,316,961
2620,293,962
2690,963,332
2108,965,254
2328,966,272
2840,333,966
2189,967,272
2303,968,333
2864,968,334
2605,969,332
2099,970,339
2585,341,970
2169,339,964
2338,336,972
2068,337,973
2575,974,254
2146,349,975
2514,338,976
2063,977,344
2158,310,977
2865,978,345
2426,344,978
2132,980,268
2088,347,981
2073,348,982
2103,349,983
2452,983,338
2294,984,332
2773,352,985
2624,355,986
2530,989,351
2055,501,25
2731,70,503
2357,503,1
2671,504,36
2467,504,29
2208,506,29
2810,72,506
2223,508,74
2928,57,508
2396,510,76
2494,511,57
2139,512,9
2457,513,20
2195,514,46
2206,515,76
2111,516,48
2089,530,110
2084,567,84
2364,537,114
2666,568,98
2400,564,105
2047,533,115
2622,566,95
2391,550,82
2379,563,105
3169,527,79
2190,528,137
2398,548,149
2748,551,83
2053,553,92
2501,555,140
2521,544,85
2147,543,86
2907,547,149
2594,545,98
2121,529,110
2420,573,87
3167,532,113
2903,534,113
2334,535,113
2137,536,113
2838,569,140
2606,565,96
2311,561,116
2916,560,94
2095,538,111
2471,523,87
2117,572,90
2061,557,225
2091,571,93
2134,558,131
2264,554,84
2083,574,126
2322,559,89
2489,549,81
2048,552,83
2659,546,97
2269,562,82
2656,540,101
2465,524,99
2087,542,104
2165,539,134
2042,525,100
2399,531,110
2241,84,572
2404,131,523
2415,95,549
2603,107,524
2114,103,544
2754,101,541
2284,99,540
2109,100,539
2397,561,576
2344,132,557
2072,558,89
2275,559,94
2902,560,522
2202,124,556
2414,139,554
2279,82,551
2541,83,553
2093,78,564
2345,79,566
2050,80,565
3065,96,552
2211,563,77
2327,81,550
2352,105,548
2064,545,86
2568,562,98
2478,547,97
2086,87,570
2445,106,528
2365,108,527
2257,109,526
2516,79,535
2341,77,532
2046,85,530
2204,529,86
2535,88,537
2433,80,536
2403,534,78
2220,538,94
2100,121,533
2267,114,615
2159,113,569
2750,110,567
2155,115,568
2551,90,571
2583,575,128
2313,577,117
2424,118,579
2531,119,580
2234,120,581
2930,581,116
2366,582,121
2481,128,582
2519,583,124
2868,122,583
2326,584,122
2790,123,584
2771,126,586
2314,587,164
2417,127,587
2216,588,88
3123,128,588
2618,589,140
3064,590,84
2320,131,591
2830,592,111
2602,592,89
2660,593,132
2286,600,102
2953,601,78
2153,135,601
2739,603,80
2532,137,603
2526,88,614
2527,615,84
2592,618,77
2924,620,81
2718,622,83
2947,623,139
2261,519,97
2782,631,134
2850,632,102
2597,633,104
2774,518,86
2437,634,98
2358,635,94
2342,636,89
2408,637,131
2644,638,91
2181,517,132
2373,641,96
2340,642,80
2601,644,122
2680,645,124
2212,646,139
2539,92,646
2145,93,574
2878,649,81
2682,149,649
2451,650,84
2244,651,152
2978,655,92
2649,654,92
3017,657,224
2183,3712,3846
2563,659,154
2179,660,160
2490,673,156
2289,664,157
2258,663,158
2661,156,663
2655,158,664
2566,157,665
3125,153,662
2242,666,154
2491,783,153
2175,158,668
2271,668,281
2448,669,160
2811,154,671
2675,670,160
2346,671,160
2523,672,153
2554,662,161
2385,161,673
2423,679,158
2927,680,156
2332,713,163
2994,699,165
2287,700,169
2219,707,187
2276,698,167
2330,712,180
2194,2738,192
2475,701,168
2611,709,189
3023,704,190
2300,702,204
2691,688,178
2460,689,175
2331,695,181
2290,694,180
3143,705,190
2982,168,705
2285,170,688
2203,178,689
2959,190,710
2236,186,734
2376,740,192
2316,684,187
2543,737,184
2822,708,164
2926,706,169
2497,170,704
2343,166,698
2630,168,702
3046,703,179
3009,180,695
2210,209,694
2628,165,712
2256,162,699
2477,197,700
2507,715,167
2525,189,715
2673,716,189
2185,717,166
2215,718,166
2274,719,204
2266,722,164
2321,168,723
2935,726,197
2127,165,726
2243,198,727
2209,169,728
2870,729,189
2302,730,199
2689,730,181
2458,731,167
2455,731,199
2182,732,200
2633,200,736
2493,733,210
2640,181,733
2388,734,166
2600,736,167
2546,737,167
2923,749,163
2402,750,3776
2621,751,173
2901,752,178
2662,681,175
2658,753,174
2231,754,177
2483,755,176
2544,757,167
2580,758,168
2721,759,179
2430,175,761
2232,762,179
2162,762,204
2904,205,763
2572,763,166
2629,684,167
2853,764,207
3337,206,764
2736,207,713
2476,766,206
2746,767,207
2367,768,209
2297,164,768
2251,210,769
2872,770,204
3069,775,233
2436,776,213
2237,777,217
2495,786,245
2595,803,266
2502,785,213
2246,784,223
2305,774,212
2547,781,219
3097,239,774
3153,215,775
2317,212,776
2767,213,777
2207,217,778
2804,214,783
2278,233,803
2370,220,787
2205,798,221
3124,799,221
2389,221,806
2323,793,213
2589,793,266
3027,212,794
2860,225,795
2635,824,226
2843,226,796
2380,797,214
3000,237,799
2418,801,229
2632,233,802
2292,823,250
2567,806,247
2434,805,250
2075,807,219
2668,810,237
2517,215,810
2511,813,233
2548,816,217
2715,817,218
2775,818,216
2265,820,214
2833,821,215
2604,780,240
2441,825,214
2892,826,244
2353,828,233
2443,244,828
2479,829,226
3117,831,4449
2827,832,240
2160,838,247
2248,244,833
2177,834,248
2359,247,834
2996,833,249
2571,250,827
2444,249,836
2427,837,240
2869,329,837
2227,249,838
2222,836,221
2726,237,839
2809,839,248
2937,248,835
2213,840,250
2131,248,840
2503,841,308
2654,860,214
2695,856,275
3171,859,280
3141,854,334
2188,895,318
3038,861,332
2170,850,258
3104,862,279
2896,858,293
3062,847,325
2299,794,266
3131,849,254
2466,851,317
2249,853,271
3113,852,259
2560,863,253
2677,845,846
2789,254,850
2598,258,851
2154,255,852
2537,259,853
2446,854,260
2989,257,849
2410,267,860
2991,261,923
2406,280,889
2293,264,861
2946,292,858
2337,268,864
3012,865,260
2577,271,865
2829,866,341
3013,271,866
2218,275,949
3072,867,272
2315,867,253
2777,868,270
2301,284,868
2944,869,252
2728,869,270
3067,870,259
2992,332,870
2431,975,262
3320,871,328
2450,872,328
